번호,등록번호,서명,저자,서명권차,총서명,저자기호,별치기호,분류기호,청구권차,복본기호,ISBN,딸림자료,출판사,출판년도,발행지,페이지,크기,가격,등록일
1532,LHCGSL01532,"데이터 분석,  AI,  IT 발전에 대한 적응 방안  : 우리는 어떤 정보 통신 강국인가?",이천표 지음,,,이83ㄷ,,320.911,,,9791193304402,,북랩,2023,서울:,523 p.:,23 cm,\20000,구매
1533,LHCGSL01533,BIPV 탐구 생활  : 질문으로 풀어보는 BIPV,"박성진,이지왕,김원영 지음",,,박54ㅈ,,544.1,,,9788976682833,,신구학원신구문화사,2024,성남:,358 p.:,23 cm,\25000,구매
1534,LHCGSL01534,근대국학의 탄생 : 경학의 해체와 중국철학의 모색,이용주 지음,,,이65ㄱ,,152.7,,,9788961474436,,이학사,2024,서울:,615 p.:,23 cm,\34000,구매
1535,LHCGSL01535,(물리량 변화 측정을 위한) 광섬유 센서의 기초와 응용,홍준희,,,홍76ㄱ,,559.98,,,9791165032654,,충남대학교출판문화원,2024,대전:,398 p.:,26 cm,\30000,구매
1536,LHCGSL01536,"강물이 바다로,  연대하는 자조의 물결  : 2030년 한국 사회적경제의 전망","한국사회가치연대기금,필자: 송원근,유철규,김형탁,박현수,김형미,권오현,장지연,이미지,송선영,윤형근,전은호,이상윤,강민수,이예나,신효진,이기호,곽은경,송경용",,,한16ㄱ,,320.911,,,9788949967202,,경인문화사,2023,서울:,448 p.:,23 cm,\29000,구매
1537,LHCGSL01537,몬테소리 교육의 이론과 실제,문창숙 지음,,,문82ㅁ,,375.1,,,9788942618347,,창지사,2024,서울:,358 p.:,24 cm,\25000,구매
1538,LHCGSL01538,법 이야기,오호택,,,오95ㅂ,,360,,,9791189979713,,동방문화사,2024,서울:,"vi, 303 p.:",25 cm,\27000,구매
1539,LHCGSL01539,"복지자본주의 연구  = ,A study of the welfare capitalism",지은구,,,지67ㅂ,,338,,,9788955658187,,청목출판사,2024,서울:,513 p.:,26 cm,\32000,구매
1540,LHCGSL01540,분석과 비판의 법철학  : 현대법철학논집,심헌섭,"2, ,법이념·순수법학·법이론",,심94ㅂ,,360.1,,,9788918915173,,法文社,2024,파주:,"xii, 570 p.:",26 cm,\40000,구매
1541,LHCGSL01541,"공공디자인으로 안전만들기 = ,Safety by public design",장주영 외,,,장76ㄱ,,539.7,,,9791188602766,,미세움,2024,서울:,390 p.:,25 cm,\25000,구매
